Word,Word type,new AoA,Frequency,V.Mean.Sum,A.Mean.Sum,icon_eng,Bigram,Conc.M,SUBTLEX
able,A,309.0,2.517,6.64,3.38,0.466666667,0.0,2.38,8155.0
add,V,225.0,2.3694,6.23,4.0,-0.153846154,0.0,3.0,1686.0
afraid,A,246.0,2.0508,2.25,5.12,1.333333333,0.0,2.7,12631.0
aim,N,357.0,1.7326,5.95,4.0,0.454545455,0.0,3.27,758.0
air,N,233.0,2.4006,6.71,3.25,1.3,0.0,4.11,7090.0
alarm,N,319.0,1.3361,3.86,6.85,1.090909091,0.0,4.47,1522.0
alcoholic,N,583.0,0.8189,2.49,5.48,0.4166666670000001,0.0,3.37,316.0
alive,A,277.0,1.8021,6.57,5.93,1.384615385,0.0,3.14,7878.0
alligator,N,332.0,0.1943,4.23,5.36,1.090909091,0.0,4.96,178.0
anger,N,288.0,1.7161,2.5,5.93,1.0,0.0,2.41,991.0
angry,A,263.0,1.8238,2.53,6.2,1.769230769,0.0,2.53,3008.0
antelope,N,446.0,0.7059,5.68,4.46,-1.4,0.0,5.0,50.0
ape,N,324.0,1.0394,5.21,4.25,1.2,0.0,4.79,493.0
arch,N,353.0,1.2357,5.8,3.15,2.5,0.0,4.59,188.0
argue,V,319.0,2.0755,3.15,6.67,0.428571429,0.0,2.75,1007.0
arrange,V,359.0,1.9477,5.15,3.57,0.428571429,0.0,2.79,791.0
attempt,N,380.0,2.0416,6.0,4.94,-0.272727273,0.0,2.22,975.0
avoid,V,422.0,2.0604,4.1,3.92,-0.166666667,0.0,2.41,1239.0
awake,V,326.0,0.9053,6.76,5.5,2.1,0.0,3.32,1362.0
baboon,N,444.0,0.6503,5.55,5.11,1.181818182,0.0,4.92,87.0
baby,N,157.0,2.4118,6.67,4.97,2.230769231,0.0,5.0,25978.0
back,F,222.0,2.9941,4.76,2.59,0.4,0.0,4.33,102467.0
bad,A,166.0,2.5198,3.24,4.86,0.5625,0.0,1.68,27804.0
badger,N,359.0,0.8645,4.63,4.35,0.2,0.0,4.37,89.0
banana,N,193.0,0.9261,6.71,3.21,1.0,0.0,5.0,547.0
bat,N,250.0,1.1588,4.81,4.57,0.153846154,0.0,5.0,1052.0
bath,V,191.0,0.7846,7.0,3.25,0.3,0.0,4.85,1587.0
battle,N,319.0,1.9097,3.52,6.25,1.5,0.0,4.0,2155.0
be,V,298.0,4.5842,6.18,3.43,0.384615385,0.0,1.85,293085.0
bear,N,220.0,1.2095,5.33,4.5,-0.25,0.0,4.88,2928.0
beautiful,A,279.0,2.0642,7.61,5.71,2.333333333,0.0,2.16,14266.0
beaver,N,389.0,0.4547,5.0,4.05,0.2,0.0,4.68,246.0
bee,N,193.0,1.2214,3.68,5.65,1.545454545,0.0,4.88,528.0
begin,V,271.0,2.8354,6.44,2.85,1.571428571,0.0,2.56,2906.0
beginning,N,332.0,1.881,6.39,3.0,0.181818182,0.0,2.5,3219.0
beige,N,452.0,-0.301,5.26,2.6,0.307692308,0.0,3.41,69.0
belong,V,332.0,1.9183,6.5,2.9,-0.166666667,0.0,1.43,2263.0
big,A,155.0,2.5959,5.64,4.33,1.090909091,0.0,3.66,34824.0
black,N,208.0,1.7753,5.4,3.58,1.19047619,0.0,3.76,8565.0
blame,V,326.0,1.6683,2.94,4.81,0.428571429,0.0,2.06,2998.0
blue,N,206.0,1.4747,6.53,3.69,-0.066666667,0.0,3.76,5222.0
blush,V,385.0,1.0349,6.38,4.74,1.6,0.0,4.41,136.0
boat,V,442.0,0.1089,6.36,4.05,1.142857143,0.0,4.93,4885.0
boil,V,294.0,1.6325,4.48,5.42,1.384615385,0.0,4.2,303.0
bomb,N,399.0,1.6146,2.47,5.71,1.9,0.0,4.84,2736.0
book,N,174.0,2.6381,7.05,3.13,0.090909091,0.0,4.9,9026.0
born,A,256.0,1.9604,7.33,3.9,-0.818181818,0.0,3.22,4268.0
bother,V,336.0,1.7671,4.44,4.2,0.5,0.0,2.0,3436.0
bowl,N,228.0,1.5187,5.67,3.21,1.5,0.0,4.87,1094.0
box,V,340.0,-0.0487,5.33,2.67,0.5625,0.0,4.9,4577.0
boy,N,150.0,2.5442,5.84,4.11,1.7,0.0,4.76,27021.0
break,N,376.0,1.4811,5.1,4.71,2.9,0.0,3.71,11275.0
breakfast,N,167.0,1.7441,7.39,5.0,0.916666667,0.0,4.43,3381.0
breathe,V,232.0,1.6453,7.17,2.6,2.666666667,0.0,4.07,2474.0
bridge,N,284.0,1.8209,5.44,3.48,-0.166666667,0.0,4.97,2331.0
brief,A,439.0,1.6398,6.0,3.42,0.2,0.0,2.38,732.0
bright,A,292.0,1.9296,6.84,5.0,1.5,0.0,3.92,2265.0
bring,V,247.0,2.7098,5.68,4.29,0.133333333,0.0,2.55,16685.0
broad,A,376.0,1.7067,5.14,3.26,2.266666667,0.0,2.45,751.0
bronze,N,448.0,1.211,5.81,3.62,0.083333333,0.0,4.47,143.0
brown,N,243.0,0.9619,5.52,3.32,0.571428571,0.0,4.48,3066.0
brush,N,198.0,1.2184,5.47,3.18,1.727272727,0.0,4.54,722.0
bug,N,383.0,0.6866,3.45,6.06,1.9,0.0,5.0,1068.0
build,V,251.0,2.3842,6.33,3.38,1.153846154,0.0,3.71,2452.0
builder,N,343.0,1.0394,5.95,3.32,0.857142857,0.0,3.97,48.0
